SMILES,SELFIES,Molecular_Weight,LogP,Solubility
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],341.754,2.113619999999999,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],332.3190000000001,1.3318999999999996,108.60999999999999
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][Branch1][C][C][=C][Ring1][#C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],357.797,2.2727399999999998,87.98
Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1],307.309,1.4602199999999999,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],341.754,2.113619999999999,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],307.309,1.4602199999999996,84.82
Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,[C][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl],420.6500000000001,2.876120000000001,84.82
O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,[O][=C][Branch1][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl],396.6170000000001,3.112000000000002,84.82
CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl][C][=C][Ring2][Ring1][#Branch1],405.8190000000001,1.2087,118.95999999999998
c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N+1][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][N][C][C][C][C][C][C][C][C][C][C][N][C][=C][C][=N+1][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][Ring2][Ring2][N],606.8580000000003,9.289800000000001,31.819999999999997
CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,[C][S][C][=C][C][=C][Branch2][Ring1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl][C][=C][Ring2][Ring1][#Branch1],373.821,2.5271,84.82
O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,[O][=C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C][Cl],362.17200000000014,2.4585999999999997,84.82
O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,[O][=C][O][/C][=Branch1][Ring1][=C][/Br][C][C][C][Ring1][Branch2][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],317.182,4.496700000000003,26.3
O=C1O/C(=C/I)CCC1c1cccc2ccccc12,[O][=C][O][/C][=Branch1][Ring1][=C][/I][C][C][C][Ring1][Branch2][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],364.182,4.536800000000003,26.3
C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,[C][#C][/C][=C][\C][C][C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O][Ring1][P],262.308,3.7775000000000025,26.3
O=C1O/C(=C\I)CCC1c1cccc2ccccc12,[O][=C][O][/C][=Branch1][Ring1][=C][\I][C][C][C][Ring1][Branch2][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],364.182,4.536800000000003,26.3
O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][=C],293.28200000000004,1.1517999999999997,84.82
O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,[O][=C][C][=N][N][Branch2][Ring1][=N][C][=C][C][=C][Branch1][S][C][Branch1][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][Cl][=C][Ring1][S][C][=Branch1][C][=O][NH1][Ring2][Ring1][#Branch1],364.18800000000005,2.3093,87.97999999999999
O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][Cl],327.727,1.8051999999999997,84.82
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,[C][C][=C][C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][=C][C][=C][Ring1][=C][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],309.32500000000005,1.3109199999999996,87.98
COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=N][N][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][C][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][P][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][O][C],433.5120000000002,2.6815000000000007,93.81
